Car Name,Brand,Model,Color,Mileage_KM,Location,Posted Date,Price_EGP
Kia Rio 2013,Kia,Rio,Black,130000,tagamo3 - new cairo,6/2/2025,324289
Kia Sportage 2023,Kia,Sportage,Silver,42000,mit ghamr,6/2/2025,236929
Kia Rio 2015,Kia,Rio,Petroleum,160000,tagamo3 - new cairo,6/2/2025,342178
Kia Sportage 2020,Kia,Sportage,Dark grey,100000,6-Oct,6/2/2025,543354
Kia Cerato 2017,Kia,Cerato,Brown,180000,madinaty,6/2/2025,497354
Kia Sorento 2023Verified User,Kia,Sorento,White,40000,heliopolis,6/2/2025,518410
Kia Cerato 2011,Kia,Cerato,Black,140000,dakahlia,6/2/2025,432775
Kia Rio 2013,Kia,Rio,Silver,157000,nasr city,6/2/2025,535501
Kia Rio 2013,Kia,Rio,Mocha,180000,heliopolis,6/2/2025,642901
Kia Sportage 2022,Kia,Sportage,Red,56000,6-Oct,6/2/2025,407186
Kia Sportage 2017,Kia,Sportage,Petroleum,140000,nasr city,6/2/2025,439929
Kia Ceed 2016,Kia,Ceed,Red,88000,alexandria,6/2/2025,627416
Kia Sportage 2025,Kia,Sportage,Silver,,tagamo3 - new cairo,6/2/2025,424352
Kia Grand Cerato 2019,Kia,Grand Cerato,Petroleum,72000,heliopolis,6/2/2025,497359
Kia Grand Cerato 2020,Kia,Grand Cerato,Black,105000,sheikh zayed city,6/2/2025,382040
Kia Carens 2014,Kia,Carens,Black,180000,heliopolis,6/2/2025,371242
Kia Xceed 2025Verified User,Kia,Xceed,White,12000,beni suef,6/2/2025,304190
Kia Rio 2013,Kia,Rio,Black,121000,tagamo3 - new cairo,6/2/2025,634046
Kia Rio 2017,Kia,Rio,Silver,250000,obour city,6/2/2025,612000
Kia Rio 2012,Kia,Rio,Silver,90000,nasr city,6/2/2025,440642
Kia Picanto 2015,Kia,Picanto,Silver,59000,tagamo3 - new cairo,6/2/2025,539257
Kia Sportage 2021,Kia,Sportage,Petroleum,95000,sheikh zayed city,6/2/2025,498515
Kia Picanto 2009,Kia,Picanto,Mocha,53000,el haram,6/2/2025,399508
Kia Xceed 2022Verified User,Kia,Xceed,Blue,30000,beni suef,6/2/2025,241275
Kia Xceed 2024,Kia,Xceed,Petroleum,8000,tagamo3 - new cairo,6/2/2025,461415
Kia Pegas 2020,Kia,Pegas,Blue,78000,nasr city,6/2/2025,357911
Kia Carnival 2024,Kia,Carnival,Silver,2000,hybrid,6/2/2025,514749
Kia Rio 2017,Kia,Rio,Gray,193000,cairo,6/2/2025,389153
Kia Sportage 2020,Kia,Sportage,Dark red,80000,tagamo3 - new cairo,6/2/2025,560820
Kia Picanto 2015,Kia,Picanto,Silver,110000,maadi,6/2/2025,609366
Kia Carens 2014,Kia,Carens,Olive,150000,damietta,6/2/2025,347235
Kia Cerato 2008,Kia,Cerato,Red,,suez,6/2/2025,419294
Kia Cerato 2017,Kia,Cerato,Black,118000,suez,6/2/2025,572101
Kia Optima 2022,Kia,Optima,White,90000,al shorouk,6/2/2025,329962
Kia Cerato 2013,Kia,Cerato,Black,127000,ismailia,6/2/2025,295046
Kia Sportage 2019,Kia,Sportage,Bronze,140000,al shorouk,6/2/2025,386402
Kia Carens 2010,Kia,Carens,Black,129000,el haram,6/2/2025,645511
Kia Grand Cerato 2019,Kia,Grand Cerato,Dark blue,80000,cairo,6/2/2025,661355
Kia Sportage 2018,Kia,Sportage,Petroleum,250000,6-Oct,6/2/2025,422759
Kia Rio 2014,Kia,Rio,Red,144000,al shorouk,6/2/2025,228451
Kia Cerato 2011,Kia,Cerato,Silver,141000,tagamo3 - new cairo,6/2/2025,378031
Kia Cerato 2013,Kia,Cerato,White,330000,menouf,6/2/2025,349570
Kia Carens 2010Verified User,Kia,Carens,Black,220000,cairo,6/2/2025,393728
Kia Sportage 2020,Kia,Sportage,Petroleum,117000,6-Oct,6/1/2025,524244
Kia Picanto 2011,Kia,Picanto,Cyan,190000,shibin el kom,6/2/2025,642347
Kia Forte 2009,Kia,Forte,Dark red,130000,el salam city,6/2/2025,697259
Kia Cerato 2005,Kia,Cerato,Silver,320000,cairo,6/2/2025,214424
Kia Sportage 2022,Kia,Sportage,Gray,24000,sharqia,6/2/2025,474047
Kia Cerato Koup 2010,Kia,Cerato Koup,Black,218000,maadi,6/1/2025,541814
Kia Soul 2009,Kia,Soul,Red,162000,giza,6/1/2025,669089
Kia Picanto 2015,Kia,Picanto,Silver,100000,nasr city,6/1/2025,403716
Kia K3 2013,Kia,K3,White,119000,obour city,6/1/2025,421836
Kia Cerato 2015,Kia,Cerato,Black,17000,banha,6/1/2025,250526
Kia Sportage 2017,Kia,Sportage,Dark grey,125000,tagamo3 - new cairo,6/1/2025,680124
Kia Sportage 2018,Kia,Sportage,Bronze,107000,tagamo3 - new cairo,6/1/2025,226363
Kia Cerato 2014,Kia,Cerato,White,250000,beheira,6/1/2025,529114
